epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3400.39,1.41533,0.57209,0.00651,0.87827,0.89673,0.92941,0.54759,1.50841,0.74643,0.00809,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3504.7,1.41911,0.57221,0.00643,0.89643,0.90584,0.93676,0.5566,1.48802,0.60462,0.00767,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3609.72,1.41434,0.5974,0.00653,0.88323,0.88316,0.92489,0.54261,1.54254,0.72988,0.00831,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3714.65,1.39615,0.57399,0.0065,0.86144,0.87227,0.91427,0.52634,1.5598,0.66119,0.00818,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3819.53,1.40155,0.61084,0.00646,0.87876,0.8597,0.91853,0.52438,1.51899,0.80426,0.0078,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3924.43,1.39938,0.5534,0.00627,0.87747,0.89925,0.93087,0.53626,1.53234,0.66079,0.00807,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4029.13,1.38685,0.56523,0.00643,0.9036,0.86064,0.9338,0.55193,1.51637,0.66557,0.00778,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4134.37,1.39799,0.58557,0.00661,0.8743,0.87763,0.92846,0.54766,1.52752,0.65277,0.00772,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4239.35,1.3802,0.56456,0.00628,0.8722,0.91255,0.93606,0.55968,1.50287,0.60709,0.00808,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4344.61,1.37541,0.54682,0.00636,0.88905,0.88512,0.92942,0.54925,1.51547,0.65959,0.00794,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4449.82,1.35291,0.53757,0.00608,0.89097,0.88324,0.94211,0.56167,1.48932,0.65062,0.00767,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,4554.6,1.36873,0.52305,0.0061,0.8719,0.88606,0.92434,0.54078,1.51277,0.6626,0.00773,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,4659.65,1.34415,0.52579,0.00591,0.88243,0.90207,0.93368,0.55776,1.46743,0.60469,0.00757,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,4764.5,1.35465,0.53843,0.00606,0.88427,0.91337,0.93424,0.55618,1.49246,0.54268,0.00761,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,4869.21,1.3398,0.52493,0.00613,0.88291,0.90886,0.93908,0.5532,1.51995,0.63947,0.00767,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,4973.66,1.33192,0.52863,0.00613,0.8748,0.89925,0.92626,0.54257,1.47565,0.64774,0.00754,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,5078.66,1.33548,0.53034,0.006,0.90225,0.88652,0.92926,0.54634,1.51946,0.59041,0.00773,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,5183.44,1.34127,0.51882,0.00591,0.89042,0.88324,0.93094,0.55113,1.50154,0.63006,0.00758,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,5288.26,1.31245,0.50843,0.00601,0.89802,0.88723,0.93733,0.55864,1.48767,0.66755,0.00776,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,5392.87,1.30467,0.5083,0.00597,0.88995,0.89831,0.93426,0.55689,1.48505,0.60623,0.00757,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,5497.59,1.32209,0.5058,0.0058,0.89598,0.90028,0.93298,0.55563,1.50906,0.6153,0.00774,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,5603.36,1.3066,0.502,0.00594,0.92005,0.87853,0.94192,0.55825,1.47639,0.63388,0.0074,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,5708.67,1.30822,0.49926,0.00581,0.89109,0.90908,0.94019,0.5613,1.48588,0.59097,0.00754,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,5813.54,1.31018,0.521,0.00576,0.91269,0.89266,0.94208,0.55689,1.48275,0.58627,0.00756,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,5919.05,1.29056,0.51121,0.00606,0.90565,0.88889,0.93153,0.55616,1.52609,0.59679,0.00787,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,6024.22,1.30368,0.49674,0.00592,0.91143,0.88175,0.9348,0.56071,1.50453,0.62023,0.00767,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,6129.02,1.29299,0.49698,0.0058,0.91333,0.88312,0.93565,0.55289,1.53868,0.59997,0.00789,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,6234.58,1.27742,0.49254,0.00577,0.89931,0.8999,0.93755,0.55634,1.52652,0.58413,0.00759,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,6340.43,1.28025,0.49974,0.00592,0.89944,0.89171,0.93059,0.55428,1.50958,0.66392,0.00758,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
