epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,4411.54,1.18307,0.48978,0.00457,0.88647,0.89418,0.93523,0.59796,1.28618,0.53482,0.00687,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,4552.26,1.18416,0.50311,0.0046,0.89101,0.89286,0.94275,0.61247,1.2687,0.49655,0.00672,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,4693.11,1.17037,0.48439,0.00452,0.89664,0.9127,0.94918,0.61146,1.27297,0.48733,0.0067,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,4833.91,1.16248,0.48441,0.00447,0.87944,0.91534,0.94747,0.62098,1.26762,0.47412,0.00662,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,4974.92,1.16392,0.48371,0.00448,0.89609,0.89549,0.9447,0.6126,1.2759,0.47413,0.00662,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,5116.04,1.16832,0.48967,0.00445,0.90749,0.89153,0.94644,0.60964,1.27418,0.49382,0.00677,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,5257.15,1.16369,0.47691,0.00453,0.88251,0.91997,0.94831,0.617,1.2804,0.47409,0.00674,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,5397.9,1.1714,0.47708,0.00446,0.91774,0.87963,0.94492,0.613,1.29316,0.48887,0.00695,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,5539.22,1.17241,0.48819,0.00455,0.90309,0.89484,0.94239,0.61405,1.27566,0.48854,0.00677,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,5681.2,1.16126,0.48966,0.00446,0.91333,0.88029,0.9427,0.60544,1.25992,0.48528,0.00669,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,5822.28,1.16568,0.47497,0.00447,0.92709,0.87831,0.94443,0.61491,1.27521,0.47802,0.00678,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,5964.1,1.15555,0.48378,0.00445,0.90127,0.89352,0.94256,0.61899,1.2721,0.48733,0.0066,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
